title,genre,cast,description
Movie 2013-274,Comedy,"Rajkummar Rao, Salman Khan, Ranveer Singh",A sci-fi adventure into uncharted realms.
Movie 2019-462,Comedy,"Ajay Devgn, Amitabh Bachchan",A comedic twist on modern relationships.
Movie 2005-240,Thriller,"Alia Bhatt, Ajay Devgn, Shah Rukh Khan",A family torn apart by secrets and fate.
Movie 2010-401,Sci-Fi,"Ranveer Singh, Deepika Padukone, Rajkummar Rao",A thriller that keeps you guessing until the end.
Movie 2017-330,Drama,"Ranveer Singh, Salman Khan, Shah Rukh Khan",A journey of love and sacrifice amidst chaos.
Movie 2017-590,Fantasy,"Katrina Kaif, Priyanka Chopra, Aamir Khan",A love story across lifetimes and parallel worlds.
Movie 2011-662,Romance,"Hrithik Roshan, Aamir Khan",A historical drama based on real events.
Movie 2013-378,Romance,"Katrina Kaif, Amitabh Bachchan",A journey of love and sacrifice amidst chaos.
Movie 2012-819,Horror,"Anushka Sharma, Aamir Khan, Alia Bhatt",An epic battle between good and evil.
Tanu Weds Manu,Romantic Comedy,"Kangana Ranaut, R. Madhavan",A quirky bride and a shy groom navigate their marriage.
Movie 2024-337,Horror,"Salman Khan, Aamir Khan",A thriller that keeps you guessing until the end.
Movie 2005-318,Thriller,"Varun Dhawan, Shah Rukh Khan, Ranveer Singh",A police officer takes on the criminal underworld.
Movie 2010-11,Fantasy,"Priyanka Chopra, Varun Dhawan",A historical drama based on real events.
Movie 2024-649,Horror,"Ajay Devgn, Shah Rukh Khan",A comedic twist on modern relationships.
Movie 2017-954,Horror,"Shah Rukh Khan, Katrina Kaif",A police officer takes on the criminal underworld.
Movie 2003-966,Horror,"Deepika Padukone, Priyanka Chopra",A police officer takes on the criminal underworld.
Movie 2000-573,Fantasy,"Priyanka Chopra, Ajay Devgn",A thriller that keeps you guessing until the end.
Movie 2017-174,Comedy,"Hrithik Roshan, Priyanka Chopra, Shah Rukh Khan",A comedic twist on modern relationships.
Movie 2002-783,Sci-Fi,"Katrina Kaif, Ajay Devgn",A family torn apart by secrets and fate.
Movie 2024-883,Thriller,"Amitabh Bachchan, Ranveer Singh",An epic battle between good and evil.
Movie 2025-286,Comedy,"Rajkummar Rao, Deepika Padukone, Alia Bhatt",A comedic twist on modern relationships.
Movie 2003-212,Action,"Varun Dhawan, Alia Bhatt",A gripping tale of revenge and redemption.
Movie 2014-509,Romance,"Katrina Kaif, Priyanka Chopra, Anushka Sharma",A love story across lifetimes and parallel worlds.
Movie 2021-360,Fantasy,"Kareena Kapoor, Katrina Kaif, Varun Dhawan",A comedic twist on modern relationships.
Movie 2014-951,Action,"Hrithik Roshan, Deepika Padukone, Alia Bhatt",A journey of love and sacrifice amidst chaos.
Movie 2008-347,Drama,"Deepika Padukone, Ajay Devgn, Alia Bhatt",A journey of love and sacrifice amidst chaos.
Movie 2024-441,Musical,"Katrina Kaif, Aamir Khan",A gripping tale of revenge and redemption.
Movie 2002-835,Action,"Hrithik Roshan, Ajay Devgn",A journey of love and sacrifice amidst chaos.
Movie 2025-494,Action,"Varun Dhawan, Deepika Padukone",A historical drama based on real events.
Movie 2018-955,Musical,"Katrina Kaif, Priyanka Chopra, Alia Bhatt",A historical drama based on real events.
Movie 2012-793,Action,"Shah Rukh Khan, Salman Khan, Kareena Kapoor",A family torn apart by secrets and fate.
Movie 2017-616,Thriller,"Aamir Khan, Varun Dhawan",A comedic twist on modern relationships.
Movie 2011-194,Musical,"Katrina Kaif, Kareena Kapoor",A journey of love and sacrifice amidst chaos.
Movie 2013-820,Historical,"Varun Dhawan, Shah Rukh Khan, Rajkummar Rao",An epic battle between good and evil.
Movie 2024-389,Comedy,"Alia Bhatt, Aamir Khan, Ranveer Singh",A comedic twist on modern relationships.
Movie 2004-369,Sci-Fi,"Ajay Devgn, Alia Bhatt",A historical drama based on real events.
Movie 2009-946,Historical,"Shah Rukh Khan, Varun Dhawan, Amitabh Bachchan",A comedic twist on modern relationships.
Movie 2015-484,Historical,"Varun Dhawan, Ajay Devgn",An epic battle between good and evil.
Movie 2022-647,Thriller,"Amitabh Bachchan, Varun Dhawan",A family torn apart by secrets and fate.
Movie 2004-83,Horror,"Ranveer Singh, Varun Dhawan, Deepika Padukone",A love story across lifetimes and parallel worlds.
Movie 2025-910,Comedy,"Katrina Kaif, Shah Rukh Khan",A journey of love and sacrifice amidst chaos.
Movie 2017-512,Thriller,"Shah Rukh Khan, Varun Dhawan",A love story across lifetimes and parallel worlds.
Movie 2000-521,Drama,"Hrithik Roshan, Kareena Kapoor, Varun Dhawan",A historical drama based on real events.
Movie 2022-699,Horror,"Anushka Sharma, Hrithik Roshan, Rajkummar Rao",A journey of love and sacrifice amidst chaos.
Movie 2014-535,Comedy,"Deepika Padukone, Priyanka Chopra, Shah Rukh Khan",A love story across lifetimes and parallel worlds.
Movie 2014-223,Action,"Katrina Kaif, Ajay Devgn, Varun Dhawan",A family torn apart by secrets and fate.
Movie 2002-809,Action,"Hrithik Roshan, Shah Rukh Khan",A love story across lifetimes and parallel worlds.
Movie 2003-810,Sci-Fi,"Ajay Devgn, Katrina Kaif, Amitabh Bachchan",A police officer takes on the criminal underworld.
Movie 2003-940,Drama,"Varun Dhawan, Salman Khan, Priyanka Chopra",A historical drama based on real events.
Movie 2005-786,Comedy,"Varun Dhawan, Rajkummar Rao",A sci-fi adventure into uncharted realms.
Movie 2015-146,Action,"Priyanka Chopra, Ajay Devgn",A historical drama based on real events.
Movie 2004-265,Horror,"Kareena Kapoor, Rajkummar Rao",A comedic twist on modern relationships.
Movie 2022-127,Drama,"Alia Bhatt, Kareena Kapoor",An epic battle between good and evil.
Movie 2002-705,Sci-Fi,"Deepika Padukone, Salman Khan",A police officer takes on the criminal underworld.
Movie 2019-644,Comedy,"Priyanka Chopra, Salman Khan",A sci-fi adventure into uncharted realms.
Movie 2024-467,Romance,"Anushka Sharma, Deepika Padukone",A journey of love and sacrifice amidst chaos.
Movie 2019-696,Historical,"Kareena Kapoor, Amitabh Bachchan",A thriller that keeps you guessing until the end.
Movie 2015-692,Drama,"Deepika Padukone, Rajkummar Rao",A comedic twist on modern relationships.
Movie 2007-580,Thriller,"Hrithik Roshan, Ajay Devgn, Alia Bhatt",A thriller that keeps you guessing until the end.
Movie 2014-925,Action,"Ranveer Singh, Katrina Kaif",An epic battle between good and evil.
Movie 2018-669,Horror,"Varun Dhawan, Ranveer Singh",A sci-fi adventure into uncharted realms.
Movie 2020-177,Action,"Deepika Padukone, Ajay Devgn",A journey of love and sacrifice amidst chaos.
Movie 2016-329,Fantasy,"Aamir Khan, Deepika Padukone, Anushka Sharma",An epic battle between good and evil.
Movie 2005-422,Action,"Deepika Padukone, Salman Khan, Aamir Khan",A police officer takes on the criminal underworld.
Movie 2012-195,Musical,"Katrina Kaif, Salman Khan",A gripping tale of revenge and redemption.
Movie 2007-476,Romance,"Priyanka Chopra, Hrithik Roshan",A historical drama based on real events.
Movie 2003-498,Action,"Hrithik Roshan, Shah Rukh Khan",A gripping tale of revenge and redemption.
Movie 2020-671,Historical,"Hrithik Roshan, Katrina Kaif",A sci-fi adventure into uncharted realms.
Movie 2004-213,Action,"Ajay Devgn, Hrithik Roshan, Deepika Padukone",A police officer takes on the criminal underworld.
Movie 2019-826,Romance,"Hrithik Roshan, Ajay Devgn",A love story across lifetimes and parallel worlds.
Movie 2016-407,Sci-Fi,"Alia Bhatt, Anushka Sharma",A historical drama based on real events.
Movie 2001-470,Action,"Deepika Padukone, Anushka Sharma, Ranveer Singh",A gripping tale of revenge and redemption.
Movie 2018-565,Thriller,"Shah Rukh Khan, Alia Bhatt",An epic battle between good and evil.
Movie 2016-563,Fantasy,"Ajay Devgn, Deepika Padukone, Priyanka Chopra",A love story across lifetimes and parallel worlds.
Movie 2007-710,Horror,"Varun Dhawan, Deepika Padukone",A gripping tale of revenge and redemption.
Movie 2002-913,Horror,"Deepika Padukone, Ajay Devgn, Shah Rukh Khan",A sci-fi adventure into uncharted realms.
Movie 2017-226,Horror,"Ajay Devgn, Amitabh Bachchan, Ranveer Singh",A gripping tale of revenge and redemption.
Movie 2020-411,Action,"Priyanka Chopra, Anushka Sharma",A historical drama based on real events.
Movie 2023-466,Musical,"Amitabh Bachchan, Shah Rukh Khan, Deepika Padukone",A family torn apart by secrets and fate.
Movie 2005-292,Comedy,"Amitabh Bachchan, Anushka Sharma, Ajay Devgn",A gripping tale of revenge and redemption.
Movie 2019-254,Sci-Fi,"Hrithik Roshan, Katrina Kaif, Priyanka Chopra",A sci-fi adventure into uncharted realms.
Movie 2022-257,Fantasy,"Amitabh Bachchan, Hrithik Roshan",A love story across lifetimes and parallel worlds.
Movie 2002-575,Historical,"Katrina Kaif, Kareena Kapoor, Varun Dhawan",A comedic twist on modern relationships.
Movie 2021-48,Comedy,"Varun Dhawan, Shah Rukh Khan",A thriller that keeps you guessing until the end.
Movie 2018-45,Comedy,"Hrithik Roshan, Ajay Devgn",A comedic twist on modern relationships.
Movie 2004-447,Drama,"Hrithik Roshan, Katrina Kaif",A family torn apart by secrets and fate.
Movie 2001-756,Action,"Priyanka Chopra, Katrina Kaif",A thriller that keeps you guessing until the end.
Movie 2002-289,Drama,"Shah Rukh Khan, Priyanka Chopra, Amitabh Bachchan",A historical drama based on real events.
Movie 2003-732,Horror,"Alia Bhatt, Salman Khan",A family torn apart by secrets and fate.
Movie 2015-354,Musical,"Varun Dhawan, Shah Rukh Khan",A gripping tale of revenge and redemption.
Movie 2002-965,Fantasy,"Hrithik Roshan, Alia Bhatt",A journey of love and sacrifice amidst chaos.
Movie 2008-269,Sci-Fi,"Katrina Kaif, Ranveer Singh, Hrithik Roshan",A comedic twist on modern relationships.
Movie 2002-887,Historical,"Shah Rukh Khan, Anushka Sharma",A journey of love and sacrifice amidst chaos.
Movie 2022-777,Horror,"Alia Bhatt, Aamir Khan, Katrina Kaif",A police officer takes on the criminal underworld.
Movie 2007-762,Horror,"Katrina Kaif, Rajkummar Rao",An epic battle between good and evil.
